trial,T_n,centered_by_n13,zscore
1,1610,0.44120000000000348,0.37004307091525573
2,1606,0.041200000000003456,0.034555245969423609
3,1596,-0.95879999999999654,-0.80416431639515673
4,1606,0.041200000000003456,0.034555245969423609
5,1612,0.64120000000000343,0.53778698338817177
6,1590,-1.5587999999999966,-1.3073960538139049
7,1590,-1.5587999999999966,-1.3073960538139049
8,1620,1.4412000000000034,1.208762633279836
9,1604,-0.15879999999999656,-0.13318866650349245
10,1622,1.6412000000000035,1.3765065457527521
11,1602,-0.35879999999999657,-0.30093257897640852
12,1616,1.0412000000000035,0.87327480833400395
13,1596,-0.95879999999999654,-0.80416431639515673
14,1602,-0.35879999999999657,-0.30093257897640852
15,1596,-0.95879999999999654,-0.80416431639515673
16,1596,-0.95879999999999654,-0.80416431639515673
17,1608,0.24120000000000347,0.20229915844233967
18,1598,-0.75879999999999659,-0.63642040392224064
19,1600,-0.55879999999999652,-0.46867649144932461
20,1618,1.2412000000000034,1.0410187208069199
21,1628,2.2412000000000036,1.8797382831715004
22,1594,-1.1587999999999965,-0.97190822886807282
23,1612,0.64120000000000343,0.53778698338817177
24,1620,1.4412000000000034,1.208762633279836
25,1612,0.64120000000000343,0.53778698338817177
26,1602,-0.35879999999999657,-0.30093257897640852
27,1594,-1.1587999999999965,-0.97190822886807282
28,1604,-0.15879999999999656,-0.13318866650349245
29,1594,-1.1587999999999965,-0.97190822886807282
30,1614,0.8412000000000035,0.70553089586108786
31,1618,1.2412000000000034,1.0410187208069199
32,1594,-1.1587999999999965,-0.97190822886807282
33,1596,-0.95879999999999654,-0.80416431639515673
34,1594,-1.1587999999999965,-0.97190822886807282
35,1592,-1.3587999999999965,-1.1396521413409888
36,1606,0.041200000000003456,0.034555245969423609
37,1592,-1.3587999999999965,-1.1396521413409888
38,1606,0.041200000000003456,0.034555245969423609
39,1584,-2.1587999999999967,-1.8106277912326532
40,1612,0.64120000000000343,0.53778698338817177
41,1608,0.24120000000000347,0.20229915844233967
42,1620,1.4412000000000034,1.208762633279836
43,1608,0.24120000000000347,0.20229915844233967
44,1604,-0.15879999999999656,-0.13318866650349245
45,1602,-0.35879999999999657,-0.30093257897640852
46,1618,1.2412000000000034,1.0410187208069199
47,1620,1.4412000000000034,1.208762633279836
