z,density
-4,8.7645828563678363E-06
-3.9839679358717435,1.1217667842219658E-05
-3.9679358717434869,1.4223006620091752E-05
-3.9519038076152304,1.7865690168924875E-05
-3.9358717434869739,2.2233757989174847E-05
-3.9198396793587174,2.7415698924389492E-05
-3.9038076152304608,3.3497459209886589E-05
-3.8877755511022043,4.055905671394737E-05
-3.8717434869739478,4.8670953237558644E-05
-3.8557114228456912,5.789038762996368E-05
-3.8396793587174347,6.8257915861405765E-05
-3.8236472945891782,7.9794434241214156E-05
-3.8076152304609217,9.2498973144349765E-05
-3.7915831663326651,0.00010634753638758378
-3.7755511022044086,0.00012129322297659699
-3.7595190380761525,0.00013726780286680285
-3.743486973947896,0.00015418482893931912
-3.7274549098196395,0.00017194425876861466
-3.7114228456913829,0.00019043843979346171
-3.6953907815631264,0.00020955919012510224
-3.6793587174348699,0.00022920559554303989
-3.6633266533066133,0.00024929205238923799
-3.6472945891783568,0.00026975602603081104
-3.6312625250501003,0.00029056497290227864
-3.6152304609218437,0.00031172189511570979
-3.5991983967935872,0.00033326906057238947
-3.5831663326653307,0.00035528952469122109
-3.5671342685370742,0.00037790622483280738
-3.5511022044088176,0.00040127857484924522
-3.5350701402805611,0.00042559665270604284
-3.5190380761523046,0.00045107323604430462
-3.503006012024048,0.00047793408686608568
-3.4869739478957915,0.00050640700707898589
-3.470941883767535,0.00053671027392872262
-3.4549098196392785,0.00056904111394613134
-3.4388777555110219,0.00060356488457584683
-3.4228456913827654,0.00064040560551336789
-3.4068136272545089,0.00067963842049501271
-3.3907815631262523,0.00072128447988834108
-3.3747494989979963,0.0007653086207827218
-3.3587174348697397,0.00081162009056202217
-3.3426853707414832,0.00086007641832102765
-3.3266533066132267,0.0009104903919758639
-3.3106212424849701,0.00096263995337551628
-3.2945891783567136,0.0010162806849187578
-3.2785571142284571,0.0010711604348413873
-3.2625250501002006,0.0011270355200659727
-3.246492985971944,0.0011836878605654539
-3.2304609218436875,0.0012409423421392216
-3.214428857715431,0.0012986836787206605
-3.1983967935871744,0.0013568720525651942
-3.1823647294589179,0.0014155568506241337
-3.1663326653306614,0.0014748878856127461
-3.1503006012024048,0.0015351235861584731
-3.1342685370741483,0.0015966357557000708
-3.1182364729458918,0.0016599106272047993
-3.1022044088176353,0.0017255460727967835
-3.0861723446893787,0.0017942449572660919
-3.0701402805611222,0.0018668047468665266
-3.0541082164328657,0.0019441035965565999
-3.0380761523046091,0.0020270832388731017
-3.0220440881763526,0.0021167290869714833
-3.0060120240480961,0.0022140480455289731
-2.9899799599198396,0.0023200445993456133
-2.973947895791583,0.0024356958234571188
-2.9579158316633265,0.0025619260320454257
-2.94188376753507,0.002699581856150878
-2.9258517034068134,0.0028494086096489792
-2.9098196392785569,0.0030120288644314781
-2.8937875751503004,0.0031879242026964846
-2.8777555110220439,0.0033774211390555698
-2.8617234468937873,0.003580682199845042
-2.8456913827655308,0.0037977031040667959
-2.8296593186372743,0.0040283169032796062
-2.8136272545090177,0.0042722058013347939
-2.7975951903807612,0.0045289211852990981
-2.7815631262525047,0.0047979121537608813
-2.7655310621242486,0.0050785625268328248
-2.7494989979959921,0.0053702359640625278
-2.7334669338677355,0.0056723284050987175
-2.717434869739479,0.0059843265900765422
-2.7014028056112225,0.0063058709245828095
-2.685370741482966,0.0066368204475294804
-2.6693386773547094,0.0069773171681525243
-2.6533066132264529,0.0073278465992324959
-2.6372745490981964,0.0076892909749062613
-2.6212424849699398,0.0080629714565040866
-2.6052104208416833,0.0084506756531019644
-2.5891783567134268,0.0088546670634232234
-2.5731462925851702,0.0092776736168054229
-2.5571142284569137,0.0097228533652301795
-2.5410821643286576,0.010193736538453959
-2.5250501002004011,0.010694144568610167
-2.5090180360721446,0.011228088233205919
-2.492985971943888,0.011799648639697664
-2.4769539078156315,0.012412846242940865
-2.460921843687375,0.013071504303045905
-2.4448897795591185,0.01377911401835677
-2.4288577154308619,0.014538708895185104
-2.4128256513026054,0.015352755673227877
-2.3967935871743489,0.01622306829786992
-2.3807615230460923,0.017150750062493458
-2.3647294589178358,0.018136167239113224
-2.3486973947895793,0.019178955428095612
-2.3326653306613228,0.020278057676217296
-2.3166332665330662,0.021431791340127987
-2.3006012024048097,0.022637938904219224
-2.2845691382765532,0.023893856661954576
-2.2685370741482966,0.025196594452145896
-2.2525050100200401,0.026543019557859572
-2.2364729458917836,0.027929938408511393
-2.2204408817635271,0.029354210792011056
-2.2044088176352705,0.030812852744098593
-2.188376753507014,0.032303125956565086
-2.1723446893787575,0.0338226132350695
-2.1563126252505009,0.035369281042582378
-2.1402805611222444,0.03694153131049261
-2.1242484969939879,0.038538245351516273
-2.1082164328657313,0.040158822786750523
-2.0921843687374748,0.041803217886889989
-2.0761523046092183,0.043471974673946291
-2.0601202404809618,0.045166260646729864
-2.0440881763527052,0.046887897246910025
-2.0280561122244487,0.048639383379299336
-2.0120240480961922,0.050423906669840049
-1.9959919839679361,0.052245335919856535
-1.9799599198396796,0.05410818760784189
-1.963927855711423,0.056017559470376295
-1.9478957915831665,0.057979025268258592
-1.93186372745491,0.059998486838366276
-1.9158316633266534,0.062081982379758621
-1.8997995991983969,0.064235453461627082
-1.8837675350701404,0.066464477218158749
-1.8677354709418839,0.068773974283471651
-1.8517034068136273,0.071167906840994652
-1.8356713426853708,0.073648984321639105
-1.8196392785571143,0.076218396410765221
-1.8036072144288577,0.078875593802875621
-1.7875751503006012,0.081618136360140578
-1.7715430861723447,0.084441625897389794
-1.7555110220440882,0.087339736787757999
-1.7394789579158316,0.090304352163606938
-1.7234468937875751,0.093325807018247248
-1.7074148296593186,0.096393232448986149
-1.691382765531062,0.099494988149471483
-1.6753507014028055,0.10261916361652922
-1.659318637274549,0.10575412292051223
-1.6432865731462925,0.10888906376705849
-1.6272545090180359,0.11201455931101692
-1.6112224448897794,0.11512305098829409
-1.5951903807615229,0.11820926256819587
-1.5791583166332663,0.12127050959530847
-1.5631262525050098,0.1243068841321761
-1.5470941883767537,0.12732130184911869
-1.5310621242484972,0.13031940655536428
-1.5150300601202407,0.13330933568639042
-1.4989979959919841,0.13630135849708985
-1.4829659318637276,0.13930740621928167
-1.4669338677354711,0.14234051974140433
-1.4509018036072145,0.14541424505892209
-1.434869739478958,0.14854200953586111
-1.4188376753507015,0.15173651274510522
-1.402805611222445,0.15500916428437178
-1.3867735470941884,0.15836959759648284
-1.3707414829659319,0.16182528368483093
-1.3547094188376754,0.16538126205023637
-1.3386773547094188,0.16903999862220637
-1.3226452905811623,0.17280137242401877
-1.3066132264529058,0.1766627847450796
-1.2905811623246493,0.18061937724722288
-1.2745490981963927,0.18466433922172154
-1.2585170340681362,0.18878927958471289
-1.2424849699398797,0.19298463648409406
-1.2264529058116231,0.19724009678126819
-1.2104208416833666,0.20154499919159835
-1.1943887775551101,0.20588869836588664
-1.1783567134268536,0.21026087234711993
-1.162324649298597,0.21465176216427362
-1.1462925851703405,0.21905233923498291
-1.130260521042084,0.22345440308313599
-1.1142284569138274,0.2278506179747285
-1.0981963927855714,0.23223450183836711
-1.0821643286573148,0.23660038379651807
-1.0661322645290583,0.24094334750479882
-1.0501002004008018,0.2452591762157523
-1.0340681362725452,0.24954431222613499
-1.0180360721442887,0.25379583853548693
